index,year,schoolindex,level,leet,leet_base,gpa,gpa_base,lang,lang_base,doc,doc_base,essay,essay_base,interview,interview_base,sum,mutiple,,
1,2016,1,1,100,,100,,,,100,,,,,,300,300,,
2,2016,1,2,,,,,,,,,50,,100,,150,,,
3,2017,1,1,100,,50,,,,50,,,,,,200,300,,
4,2017,1,2,,,,,,,,,50,,100,,150,,,
5,2018,1,1,150,,100,,,,70,,,,,,320,300,,
6,2018,1,2,,,,,,,,,50,,50,,100,,,
7,2016,2,1,300,,150,,200,,,,,,,,650,300,,
8,2016,2,2,,,,,,,100,,100,,150,,350,,,
9,2017,2,1,300,,150,,200,106,,,,,,,650,300,,
10,2017,2,2,,,,,,,100,76,100,,150,45,350,,,
11,2018,2,1,300,,100,55,200,90,150,78,,,,,750,300,,
12,2018,2,2,,,,,,,,,100,,150,45,250,,,
13,2016,3,1,150,,100,,100,,50,,,,,,400,300,,
14,2016,3,2,,,,,,,,,70,,30,,100,,,
15,2017,3,1,150,95,100,65,100,70,50,20,,,,,400,300,,
16,2017,3,2,,,,,,,,,70,,30,,100,,,
17,2018,3,1,150,95,100,65,100,70,50,20,,,,,400,300,,
18,2018,3,2,,,,,,,,,70,,30,,100,,,
19,2016,4,1,150,,150,,100,,100,,,,,,500,400,,
20,2016,4,2,,,,,,,,,,,100,,100,,,
21,2017,4,1,100,70,100,80,,,100,80,,,,,300,400,,
22,2017,4,2,,,,,,,,,,,100,85,100,,,
23,2018,4,1,100,70,100,80,,,100,80,,,,,300,400,,
24,2018,4,2,,,,,,,,,,,100,90,100,,,
25,2016,5,1,200,,200,,100,,100,,,,,,600,300,,
26,2016,5,2,,,,,,,,,,,100,,100,,,
27,2017,5,1,200,,200,,100,,100,,,,,,600,300,,
28,2017,5,2,,,,,,,,,,,100,,100,,,
29,2018,5,1,200,104,200,104,,,100,65,,,,,500,300,,
30,2018,5,2,,,,,,,,,,,100,,100,,,
31,2016,6,1,300,,100,,200,,200,,,,,,800,300,,
32,2016,6,2,,,,,,,,,,,200,,200,,,
33,2017,6,1,300,240,100,80,200,160,,,,,,,600,300,,
34,2017,6,2,,,,,,,100,80,100,80,200,160,400,,,
35,2018,6,1,300,200,100,95,200,185,,,,,,,600,300,,
36,2018,6,2,,,,,,,200,165,100,60,100,95,400,,,
37,2016,7,1,200,,100,,100,,,,,,,,400,300,,
38,2016,7,2,,,,,,,20,,20,,20,,60,,,
39,2017,7,1,30,5,20,,10,8,,,,,,,60,300,,
40,2017,7,2,,,,,,,20,,10,,10,,40,,,
41,2018,7,1,30,5,20,,10,8,,,,,,,60,300,,
42,2018,7,2,,,,,,,20,,10,,10,,40,,,
43,2016,8,1,30,,30,,20,,20,,,,,,100,500,,
44,2016,8,2,,,,,,,,,,,20,,20,,,
45,2017,8,1,30,10,30,10,20,15,20,5,,,,,100,500,,
46,2017,8,2,,,,,,,,,,,20,,20,,,
47,2018,8,1,30,,30,20,20,15,20,5,,,,,100,500,,
48,2018,8,2,,,,,,,,,,,20,,20,,,
,2016,9,1,80,,100,,,,120,,,,,,300,300,LEET(0.4/0.6) doc???곸뼱?먯닔 ?ы븿,
,2016,9,2,,,,,,,,,100,,100,,200,,,
,2017,9,1,100,,100,,,,,,,,,,200,250,LEET(0.4/0.6) doc???곸뼱?먯닔 ?ы븿,
,2017,9,2,,,,,,,50,,,,,,50,150,?섑븰?λ젰(20),
,2017,9,3,,,,,,,,,50,,,,50,,硫댁젒 ?쇱닠 ?⑹궛,
,2018,9,1,100,,100,,,,,,,,,,200,250,LEET(0.4/0.6) doc???곸뼱?먯닔 ?ы븿,
,2018,9,2,,,,,,,50,,,,,,50,150,?섑븰?λ젰(20),
,2018,9,3,,,,,,,,,50,,,,50,,硫댁젒 ?쇱닠 ?⑹궛,
,2016,10,1,20,,15,,15,,20,,,,,,70,400,,
,2016,10,2,10,,,,,,,,,,20,,30,,LEET ?쇱닠?먯닔,
,2017,10,1,20,,15,,15,1,20,10,,,,,70,300,,
,2017,10,2,10,,,,,,,,,,20,,30,,,
,2018,10,1,15,,20,,20,6,20,10,,,,,75,300,,
,2018,10,2,5,,,,,,,,,,20,,25,,,
,2016,11,1,25,,15,,,,40,,,,,,80,200,,
,2016,11,2,,,,,,,,,,,20,,20,,,
,2017,11,1,25,,20,10,10,,15,,10,8.8,,,80,200,LEET ?쇱닠?먮쭔 湲곕낯?먯닔 ?곸슜,
,2017,11,2,,,,,,,,,,,20,,20,,,
,2018,11,1,30,,25,12,10,,20,,,,,,85,200,,
,2018,11,2,,,,,,,,,,,15,,15,,,
,2016,12,1,30,,20,,20,,,,,,,,70,700,LEET ?먯닔 ?됯? ??李몄“,
,2016,12,2,,,,,,,15,,,,15,,30,,?쒕㈃?됯???LEET ?쇱닠 ?ы븿,
,2017,12,1,25,5,20,10,20,10,,,,,,,65,500,,
,2017,12,2,,,,,,,15,,5,,15,3,35,,,
,2018,12,1,15,,20,,20,6,20,10,,,,,75,300,LEET ?먯닔諛섏쁺 ?뺤씤,
,2018,12,2,,,,,,,,,5,,20,,25,,,
,2016,13,1,20,,20,,20,,25,,,,,,85,300,?쒕㈃?됯???LEET ?쇱닠 ?ы븿,
,2016,13,2,,,,,,,,,,,15,,15,,,
,2017,13,1,25,,25,,15,,25,,,,,,90,250,?쒕㈃?됯???LEET ?쇱닠 ?ы븿,
,2017,13,2,,,,,,,,,,,10,,10,,,
,2018,13,1,25,,25,,15,,25,,,,,,90,250,?쒕㈃?됯???LEET ?쇱닠 ?ы븿,
,2018,13,2,,,,,,,,,,,10,,10,,,
,2016,14,1,300,,100,,100,,200,,,,,,700,500,,
,2016,14,2,,,,,,,,,100,,200,,300,,,
,2017,14,1,300,,100,80,100,90,200,180,,,,,700,500,,
,2017,14,2,,,,,,,,,100,,200,,300,,,
,2018,14,1,300,,100,80,100,90,200,180,,,,,700,500,,
,2018,14,2,,,,,,,,,100,,200,,300,,,
,2016,15,1,35,,20,,15,,,,,,,,70,500,,
,2016,15,2,,,,,,,,,,,30,,30,,,
,2017,15,1,40,30,20,17,20,16,,,,,,,80,500,,
,2017,15,2,,,,,,,,,,,20,7,100,,,
,2018,15,1,40,30,20,17,20,16,,,,,,,80,500,,
,2018,15,2,,,,,,,,,,,20,7,20,,,
,2016,16,1,150,,200,,150,,200,,,,,,700,400,,
,2016,16,2,,,,,,,,,150,,150,,300,,,
,2017,16,1,60,,40,,30,,50,,,,,,180,400,,
,2017,16,2,,,,,,,,,10,,10,,20,,,
,2018,16,1,60,,40,,30,,50,,,,,,180,300,,
,2018,16,2,,,,,,,,,10,,10,,20,,,
,2016,17,1,200,,200,,150,,200,,,,,,750,400,,
,2016,17,2,,,,,,,,,50,,200,,1000,,,
,2017,17,1,250,,200,100,100,50,,,,,,,550,600,,
,2017,17,2,,,,,,,150,50,100,50,200,50,1000,,,
,2018,17,1,250,50,200,100,100,50,200,50,,,,,750,500,,
,2018,17,2,,,,,,,,,100,50,150,50,1000,,,
,2016,18,1,100,,100,,100,,100,,,,,,400,300,,
,2016,18,2,,,,,,,,,50,,50,,500,,,
,2017,18,1,100,42,100,76,100,88,100,52,,,,,400,300,,
,2017,18,2,,,,,,,,,50,30,50,35,500,,,
,2018,18,1,100,30,100,72,100,88,100,52,,,,,400,300,,
,2018,18,2,,,,,,,,,50,35,50,40,500,,,
,2016,19,1,30,,15,,10,,10,,,,,,65,300,,
,2016,19,2,,,,,,,,,15,,20,,100,,,
,2017,19,1,30,,15,,10,,10,,,,,,65,300,,
,2017,19,2,,,,,,,,,15,,20,,100,,,
,2018,19,1,30,,15,,10,,10,,,,,,65,300,,
,2018,19,2,,,,,,,,,15,,20,,100,,,
,2016,20,1,25,,20,,15,,,,,,,,60,400,,
,2016,20,2,,,,,,,16,,8,,16,,100,,,
,2017,20,1,25,,20,,15,,,,,,,,60,400,,
,2017,20,2,,,,,,,16,,8,,16,,100,,,
,2018,20,1,30,,20,,10,,,,,,,,60,300,,
,2018,20,2,,,,,,,20,,4,,16,,100,,,
,2016,21,1,100,,100,,100,,100,,,,,,400,400,,
,2016,21,2,,,,,,,,,,,100,,500,,,
,2017,21,1,100,80,100,80,100,85,100,80,,,,,400,400,,
,2017,21,2,,,,,,,,,,,100,90,500,,,
,2018,21,1,100,80,100,80,100,85,100,80,,,,,400,400,,
,2018,21,2,,,,,,,,,,,100,90,500,,,
,2016,22,1,120,,50,,100,,30,,,,,,300,250,,"?명꽣酉곗뿉 ?쇱닠, ?먯냼??諛섏쁺"
,2016,22,2,,,,,,,,,,,100,,400,,,
,2017,22,1,120,,100,,100,,30,,,,,,350,250,,
,2017,22,2,,,,,,,,,20,,40,,410,,,
,2018,22,1,120,,100,,100,,30,,,,,,350,250,,
,2018,22,2,,,,,,,,,20,,40,,410,,,
,2016,23,1,100,,100,,100,,,,,,,,300,400,,
,2016,23,2,,,,,,,30,,100,,70,,500,,,
,2017,23,1,100,,100,,100,,60,,,,,,360,300,,
,2017,23,2,,,,,,,,,100,,40,,500,,,
,2018,23,1,100,,100,,100,,60,,,,,,360,300,,
,2018,23,2,,,,,,,,,100,,40,,500,,,
,2016,24,1,100,,100,,100,,100,,,,,,400,500,,
,2016,24,2,,,,,,,,,,,100,,500,,,
,2017,24,1,200,50,100,50,100,50,100,50,,,,,500,400,,?쇱닠 p/f
,2017,24,2,,,,,,,,,,,100,60,600,,,
,2018,24,1,100,25,100,65,100,70,100,50,,,,,400,400,,
,2018,24,2,,,,,,,,,,,100,76,500,,,
,2016,25,1,150,,220,,110,,220,,,,,,700,300,,
,2016,25,2,,,,,,,,,100,,200,,1000,,,
,2017,25,1,30,,20,,10,,20,,,,,,80,350,,
,2017,25,2,,,,,,,,,10,,10,,100,,,
,2018,25,1,30,,20,,10,,20,,,,,,80,350,,
,2018,25,2,,,,,,,,,10,,10,,100,,,
